DATE,Price
2023-05-23,27254.862083333348
2022-10-15,19155.946736111153
2023-04-09,28048.03434027778
2022-01-14,42802.50875
2023-03-09,21436.989583333387
2022-11-04,20687.68989583328
2023-06-19,26524.591249999925
2023-04-20,28697.350208333362
2023-09-08,26027.469895833357
2022-05-18,29632.854513888808
2022-03-19,41811.515173611035
2023-06-01,26934.445173611006
2022-02-14,42385.55263888894
2022-06-02,30056.859305555598
2023-05-21,27014.42951388889
2023-10-04,27523.774930555584
2022-01-03,46905.871840277876
2023-04-10,28617.566701388867
2023-02-15,22693.288715277777
2022-04-13,40512.544270833394
2022-05-06,36192.163055555495
2023-10-09,27703.506805555524
2023-07-12,30601.137291666706
2022-12-02,16976.392048611095
2022-08-16,23999.897013888894
2022-05-09,32729.51204861126
2022-05-20,29838.976215277733
2023-06-21,29297.056736111073
2022-06-12,27671.84354166669
2022-05-04,38851.97364583324
2022-11-12,16845.098124999975
2022-01-12,43243.295416666755
2022-04-02,46472.89392361119
2022-11-15,16839.215972222224
2023-04-03,28015.2159375
2023-04-25,27538.577222222226
2023-10-11,27030.29114583334
2022-01-01,47150.941909722445
2023-01-03,16698.050381944446
2022-10-31,20512.031909722242
2023-02-13,21702.139861111104
2022-10-20,19137.08767361112
2023-07-23,29967.75208333336
2022-11-27,16562.426527777723
2023-05-13,26849.37819444446
2023-08-12,29432.297361111087
2022-12-11,17183.833506944437
2023-06-09,26544.087465277807
2022-11-26,16581.25097222214
2022-05-16,29995.854722222175
2023-06-05,26479.275069444295
2022-09-18,19888.309166666637
2023-05-31,27238.98697916665
2023-03-13,23053.175173611122
2022-04-18,39720.29520833339
2023-08-02,29439.583784722225
2022-08-12,24010.2661805556
2022-02-24,36187.46850694448
2022-02-02,38107.48336805544
2023-02-04,23409.21385416668
2023-07-30,29344.76142361108
2022-09-25,19003.67611111109
2023-03-21,28001.739513888853
2023-03-28,27058.819965277766
2022-11-29,16427.84017361109
2023-08-14,29404.464999999997
2023-01-12,18338.364479166674
2023-01-28,23041.549236111056
2023-09-20,27132.73437499989
2023-08-25,26066.3057986111
2023-06-23,30354.787465277925
2023-07-07,30208.661701388926
2022-04-29,39158.73017361133
2022-06-05,29833.51670138887
2023-08-29,26709.474027777753
2023-05-20,26959.162743055553
2023-10-05,27646.99142361112
2023-06-03,27181.82322916662
2023-04-13,30246.011909722238
2022-06-09,30258.92517361121
2022-07-12,19780.847534722223
2022-12-25,16832.31479166668
2022-03-26,44398.18107638878
2023-06-15,25129.165555555606
2022-10-11,19087.35284722226
2023-08-17,28216.19690972224
2022-05-22,29801.80885416662
2022-11-24,16617.95083333339
2022-11-14,16481.09055555562
2023-01-15,20787.52569444444
2023-01-02,16697.30156249999
2022-07-03,19185.441388888827
2023-03-27,27583.532638888893
2023-07-19,30008.461840277774
2023-10-18,28441.286494023825
2023-04-22,27453.540694444444
2023-04-24,27518.019340277788
2023-01-26,23086.127013888883
2023-05-12,26526.53659722219
2022-07-14,20188.793090277715
2022-03-21,41129.73583333325
2022-03-24,43285.26329861107
2022-06-07,30028.237881944413
2022-07-27,21666.718854166662
2022-02-28,39413.09177083329
2022-04-20,41469.088055555396
2023-08-04,29163.93618055556
2022-08-09,23467.432777777813
2022-08-30,20163.703645833353
2022-12-14,17882.296944444457
2022-04-23,39699.36083333331
2023-03-16,24700.16187499999
2022-09-27,19749.68527777783
2023-05-09,27647.920694444463
2022-11-09,17560.023541666644
2022-01-05,45958.11326388885
2023-01-04,16838.394618055554
2022-07-01,19555.25031249993
2023-07-06,30541.085868055467
2022-06-13,24278.1872569445
2022-11-03,20258.08371527779
2022-04-19,41059.127222222014
2022-12-20,16812.16593749999
2023-01-30,23299.302291666616
2023-03-29,28101.676423611098
2022-10-19,19240.17791666674
2022-07-29,23914.01739583327
2022-10-08,19510.2995138889
2022-12-07,16902.94454861111
2022-10-21,19085.371631944457
2023-08-01,29024.018194444452
2023-01-21,22897.33642361111
2023-08-31,26880.287187499973
2022-06-08,30481.311909722313
2022-03-13,38961.88354166671
2022-01-18,41977.21836805557
2022-07-16,20885.321006944367
2022-03-23,42272.02788194451
2022-08-05,23098.941979166648
2023-06-26,30314.79010416653
2022-05-25,29758.19958333341
2022-03-12,39173.59663194456
2023-03-20,27918.697083333307
2023-06-27,30554.601840277777
2023-02-11,21712.491006944438
2023-01-08,16956.226284722212
2023-09-02,25830.490416666624
2023-08-06,29102.122951388857
2022-01-19,41961.21861111108
2022-06-16,21457.86347222225
2022-03-15,39068.51392361113
2022-08-07,23109.609687500044
2023-03-18,27391.538958333313
2023-10-15,26955.647986111107
2023-01-13,19073.984791666655
2022-12-22,16789.69357638888
2023-10-14,26894.737013888927
2023-07-15,30346.634305555483
2023-09-07,25838.58923611109
2023-09-09,25880.15329861112
2022-01-22,35590.369861111074
2022-04-10,42810.50420138886
2022-03-30,47234.237986111
2023-05-05,29298.174131944434
2023-08-10,29505.378680555543
2022-05-21,29351.170555555516
2023-04-07,27967.469756944432
2022-05-27,28927.678159722276
2022-12-18,16751.01704861111
2022-02-15,43971.49524305564
2023-01-24,22985.88638888891
2023-07-26,29302.41114583336
2022-02-17,42715.698194444565
2022-06-22,20333.557152777823
2023-03-06,22430.422604166673
2022-09-14,20234.76909722217
2023-09-05,25741.99173611113
2023-09-11,25512.27829861113
2022-06-11,28894.863437499997
2023-05-07,28961.60131944445
2023-08-23,26182.20482638895
2022-07-04,19525.211076388852
2023-03-31,28226.877847222186
2023-07-25,29195.92809027775
2022-01-15,43192.24059027785
2022-01-30,38001.593993055445
2022-05-13,30195.534756944464
2023-08-11,29416.506597222222
2023-01-23,22848.58663194445
2022-07-21,22950.697847222076
2022-03-31,46702.293333333335
2023-03-05,22435.54625
2022-02-12,42395.042430555615
2022-09-30,19531.439791666635
2023-04-04,28099.975486111103
2023-09-30,26976.074236111017
2023-07-08,30256.572673611085
2022-02-03,36859.340069444355
2022-11-13,16672.170416666657
2023-05-04,29020.36722222221
2022-09-29,19407.11760416673
2022-01-06,43153.73315972214
2022-12-09,17210.40486111109
2022-08-20,21193.41420138882
2022-10-17,19407.791145833366
2022-04-17,40410.74909722221
2022-03-14,38746.920694444496
2022-05-14,29424.653541666692
2023-01-06,16834.68677083334
2022-01-08,41755.74434027787
2023-05-02,28291.341354166634
2023-06-12,25896.176666666644
2022-11-01,20504.824479166702
2022-10-10,19338.34378472213
2023-05-29,27888.104131944445
2022-02-11,43246.47548611103
2023-02-08,23115.46559027777
2023-05-03,28582.66249999999
2023-10-01,27176.652534722238
2023-09-23,26595.335520833363
2022-07-25,21974.798159722144
2023-08-05,29074.75368055558
2023-04-21,27976.594861111127
2023-06-11,25867.918020833335
2022-02-18,40468.46687500005
2022-04-11,41341.08958333336
2022-03-02,44086.96999999982
2022-05-05,38499.241562500174
2023-02-24,23655.850729166665
2023-07-17,30218.41611111108
2022-08-02,23009.755972222232
2022-10-12,19134.321458333354
2023-03-23,27825.450208333288
2022-12-26,16860.4929861111
2023-03-11,20320.750659722224
2023-10-03,27489.0435416667
2023-07-13,30725.1542708334
2023-05-10,27769.892118055566
2023-05-14,26897.64729166669
2022-11-08,19592.923749999984
2023-04-29,29324.784930555554
2022-06-26,21379.793194444388
2023-06-20,27202.573402777696
2022-02-19,40120.45888888898
2023-02-28,23392.661145833445
2022-10-28,20391.514305555524
2022-01-27,36415.94201388901
2022-06-18,19364.968958333364
2022-04-08,43403.94319444447
2022-08-29,20000.995347222237
2023-09-03,25921.16295138896
2022-04-12,39993.872812499976
2022-01-20,42269.0705555557
2023-09-26,26249.728784722192
2022-10-05,20137.504861111065
2022-06-15,21370.06878472223
2022-08-14,24531.27375000001
2023-01-18,21141.50520833334
2023-01-11,17463.947569444437
2022-08-25,21616.11048611111
2023-05-17,27029.403715277753
2022-12-15,17600.556458333333
2022-09-01,19987.865902777783
2023-09-22,26625.349722222232
2022-01-13,43468.85937499997
2023-07-24,29456.879236111126
2022-05-12,28463.61861111114
2022-04-01,45573.77100694425
2022-05-31,31727.547743055653
2022-11-19,16661.62833333329
2023-08-27,26071.42906249998
2023-07-27,29357.88871527784
2022-12-30,16557.45940972222
2022-10-16,19181.591180555573
2023-04-14,30614.204166666666
2022-12-12,17016.935659722207
2023-05-25,26329.681562499954
2022-03-29,47520.73395833338
2023-07-09,30301.61270833333
2022-07-07,20788.607256944404
2023-01-25,22725.51131944443
2022-04-16,40485.326701388934
2022-08-22,21288.391388888886
2022-12-04,17032.402222222223
2022-05-19,29559.49496527767
2023-10-10,27549.110000000015
2022-09-28,19125.499618055546
2023-09-19,27051.599548611124
2023-04-18,29967.166840277758
2022-10-13,19051.130104166605
2022-02-23,38270.99059027782
2022-11-11,17117.408333333315
2023-06-06,26126.58840277773
2022-10-02,19245.007847222318
2022-02-26,39287.22527777784
2023-08-30,27361.9617361112
2022-01-31,37615.678298611274
2022-07-11,20491.83232638892
2022-05-23,30102.006944444496
2022-10-24,19358.970034722144
2023-02-21,24706.176562499993
2023-01-07,16948.798368055555
2022-08-06,23216.205451388803
2023-06-28,30330.03583333337
2023-06-02,27089.751319444375
2023-01-10,17296.66017361111
2023-03-03,22436.794722222206
2022-01-09,41946.978888889
2022-04-27,38824.48229166666
2023-03-19,27479.145069444457
2023-06-13,26013.600798611147
2022-11-05,21333.433923611086
2023-09-14,26443.955694444365
2023-03-12,20722.609583333327
